State,HD_Index,LifeExpectancy,MedianEarnings,Less_Than_HS,At_Least_HS,At_Least_BA,Grad_Degree,School_Enroll,Low_Birth_Weight_Infants,3and4yr_Not_Enroll_Preschool,4thGraders_Reading_Below_Prof,HS_Freshmen_Not_Grad_4yrs,Children_Under_6_Poverty,Adults_65_Poverty,Preschool_Enrollment,Students_ESL,Sp_Ed_Students,Econ_Disad_Students,4th_Grade _Nat_Assess_Reading,8th_Grade_Nat_Assess_Math,Public_HS_Grad_Rate,HS_Grad_Enroll_College,Annual Costs of Public 4-Year College (average $),Annual_Costs_Private_4yr_College,Annual_Costs_Public_2yr_College,Per_Pupil_Spending,State_Spending_Higher_Education,State_Spending_Academic_Research_Development,Indiv_Home_Internet_Access,Teenagers_Not_School_Not_Working,Total_Pop,Pop_Under_18,Pop_Over_65,Urban_Pop,Rural_Pop,White_non_Latino_Pop,Latino_Pop,African_Amer_Pop,Asian_Amer_Pop,Native_Amer_Pop,Other_Races_Pop,Homeless,Commute_60_Min,Infant_Mortality_Rate,Child_Mortality,Diabetes,Obesity,Births_Teen_Girls,Practicing_Physicians,Smoking,Binge_Drinking1,Binge_Drinking2,Army_Recruits_Total,Army_Recruits_Youth1,Army_Recruits2,Violent_Crime,Property_Crime,Homicide,Homicide_Firearm,Suicide,Rape,Incarceration_Rate,State_Expenditure_Corrections,Turnout,Seats_State_Legis_Women,CO2_Emissions,Carcinogen_Releases,Lead_Releases,Mercury_Releases,Protected_Forest,Energy_Consumption,Water_Consumption,Labor_Force_Particip_Rate,State_Per_Capita_GDP,State_Min_Wage,Poverty_Rate,Child_Poverty,Unemployment_Rate,Mgmt_prof_rel_occup,Service _occup,Sales_and_office_occup,Farm_fish_forestry_occup,Construct_extraction_maintenance_repair_occupations,Prod_trans_material_moving_occup,1860_Status,Plantation
Alabama,4.04,75.42,25530,17.87,82.13,21.91,8,76.13,10.3,56.6,68.54,28.2,31.9,10.7,46.91,2,11,53,31.46,20.06,71.8,64.3,14415.51,24318.08,3422,9475.87,905.64,152,80,9.56,4779736,23.7,13.8,59.04,40.96,67.04,3.88,26.04,1.11,0.54,1.39,0.13,5.84,8.71,31.2,11.2,32,43.6,21.4,24.3,13.7,14,1630,2.5,2.5,449.9,3502.2,7.1,50,14,26.9,619,19316.39,58.9,12.9,30.47,13507625,4189437,50.9,10127,479024,2464.22,71.6,32354,,19.03,27.72,5.9,30.8,15.5,26.1,0.6,10.8,16.1,Slave,SlavePlantation
Alaska,5.06,78.29,32140,8.96,91.04,27.92,9.43,71.15,5.7,65,74.43,24.5,17.8,5.66,42.97,11,14,38,25.57,35.17,75.5,46.4,14053.21,30627.9,3894,16974.15,1251.65,162,69.5,10.94,710231,26.4,7.7,66.02,33.98,64.11,5.53,3.09,5.27,14.44,7.56,0.28,4.47,3.75,34.8,6.7,27.4,38.3,24.3,22.9,20.8,18,215,2.1,2,603.2,2739.4,4.1,37.9,22.8,79.7,357,55523.65,58.9,21.7,68.97,206203909,200589823,106.01,4920,1177491,1762.54,78.7,61202,7.7,9.94,12.91,6.2,34.1,16.3,25.2,0.9,12.7,10.8,NotApplicable,NotApplicable
Arizona,4.89,79.64,27813,14.36,85.64,25.9,9.22,74.15,7.1,66.1,73.9,25.3,27.5,7.72,32.44,7,12,45,26.1,31.47,74.7,57.9,17082.88,20979.1,1671,8714.08,412.76,128,76,10.6,6392017,25.5,13.8,89.81,10.19,57.82,29.65,3.74,2.67,4.03,2.1,0.23,6.62,5.97,28.9,7.8,25.1,41.9,22.6,19.3,17.6,18,1996,1.9,2.3,428.9,3539.2,5.5,65.7,17,34.7,565,26315.79,52.9,31.1,15.13,21492996,17366164,5.37,630,250089,1171.58,74.1,34676,7.2,17.44,24.42,7.8,32.9,19.1,27.2,0.4,11.2,9.1,OpenSlave,Slave
Arkansas,3.91,75.96,23992,17.06,82.94,19.49,6.31,75.7,8.8,51.5,69.91,25,32.5,10.22,49.77,7,13,60,30.09,29.26,75,65.4,12579.74,22934.3,2311,9744.11,962.04,86,68.5,11.99,2915918,24.4,14.4,56.16,43.84,74.54,6.38,15.33,1.22,0.69,1.83,0.1,5.01,7.32,45.9,9.5,30.9,52.5,20.2,27,14.1,18,753,2.3,2,469.1,3660.1,5.9,65.1,15.5,42.3,507,27006.6,50.5,23,21.29,3455259,325555,1,15923,414124,4610.58,71.9,31547,6.2,18.84,27.61,6.9,29.4,16.3,25.9,1.1,9.8,17.5,Slave,SlavePlantation
California,5.4,80.77,30356,19.3,80.7,30.09,10.96,78.43,6.8,50.7,75.39,21.8,23.6,9.75,50.78,,11,53,24.61,25.34,78.2,61.7,18933.5,38047.42,723,9530.18,446.04,191,76.6,8.26,37253956,25,11.4,94.95,5.05,40.15,37.62,5.81,12.82,0.44,3.18,0.36,10,4.74,23.5,8.5,23.8,31.5,26.1,13.7,18.6,20,6087,1.1,1.1,423.1,2758.7,5,69.4,10.3,20.6,471,56554.35,55.2,27.5,10.77,17906862,8071051,0.78,20620,234158,1433.15,74,44898,8,15.8,21.98,8.5,35.8,17.7,25.3,1.4,8.6,11.2,Free,Free
Colorado,5.53,80.02,30440,10.32,89.68,36.39,12.99,77.52,8.8,50.5,61.49,20.2,20.9,8.05,48.9,12,,40,38.51,43.46,79.8,61.2,16208.01,29153.22,2727,9703.63,709.39,187,82.8,7.66,5029196,24.4,10.9,86.15,13.85,70.01,20.65,3.75,2.7,0.62,2.27,0.3,6.38,5.91,21.2,6,20.7,33.4,26.9,18.3,20.1,14,1041,1.6,1.6,308.9,2684.7,3.1,57.5,16.8,40.7,468,32425.42,70.3,37,19.55,6295753,5919746,0.92,10871,300243,3282.71,79.2,45913,7.2,13.37,17.35,6.8,38.1,16.4,24.8,0.5,10.8,9.4,OpenSlave,Slave
Connecticut,6.17,80.82,35926,11.38,88.62,35.54,15.33,81.86,8,38.3,58,24.89,15.8,6.59,64.38,5,12,34,42,38.13,75.1,78.7,19400.08,44698.84,3401,15992.98,752.87,209,84.4,5.8,3574097,22.9,14.2,87.99,12.01,71.24,13.4,9.38,3.75,0.19,2.03,0.13,7.77,5.28,23,6.8,24.5,18.7,36,17.1,17.9,10,388,0.8,0.8,283,2140,4.1,76.7,9.4,25.6,411,33461.3,60.9,32.1,12.62,1027151,321708,0.13,8052,265316,1210.67,79,55143,8.2,10.1,12.84,7.8,40.2,16.7,24.9,0.2,7.7,10.2,Free,Free
Delaware,5.22,78.36,31435,12.34,87.66,27.81,11.26,78.33,8.9,49.9,63.85,24.5,22.4,7.72,47.28,5,14,48,36.15,31.92,75.5,47.3,19541.02,22927.62,2942,12876.44,421.49,153,77.2,8.51,897934,22.9,14.4,83.3,16.7,65.34,8.15,20.8,3.15,0.31,2.23,0.13,7.51,7.66,17.2,8.3,28.8,30.5,26.3,21.8,20.3,11,146,0.8,1.2,547.4,3340.9,6.2,71.9,11.3,26.5,473,36538.98,62.7,25.8,20.44,592012,73886,18.96,2032,368262,1357.29,76.9,61737,7.2,11.83,18.09,7,36.8,17.4,26.4,0.3,9.5,9.7,Free,Free
Florida,4.82,79.45,26045,14.52,85.48,25.78,9.17,77.49,8.7,49.9,64.76,29.2,26.5,9.93,51.65,9,14,56,35.24,27.72,70.8,63,12773.85,28532.86,2497,9543.43,348.75,87,78.8,9.7,18801310,21.3,17.3,91.16,8.84,57.89,22.47,15.16,2.37,0.25,1.86,0.3,7.11,6.54,34.8,9.5,26.6,32,26,19.3,17.1,20,5147,2.1,2.2,487.1,3276.7,5.2,,13.7,27.2,548,30648.6,63.5,23.8,14.25,5541706,647570,0.5,4742,256737,1152.73,75,34440,7.2,16.53,23.47,6.8,32.8,19.2,28.3,0.7,10,8.9,Slave,Slave
Georgia,4.62,77.23,27288,15.71,84.29,27.29,9.75,77.15,9.7,50.1,67.55,30.1,28.8,10.66,50.92,5,11,57,32.45,27.76,69.9,67.7,14018.95,30488.13,2480,10276.39,298.48,157,75,10.78,9687653,25.7,10.7,75.07,24.93,55.88,8.81,30.05,3.22,0.22,1.82,0.21,9.34,6.42,32.7,9.9,28,41.4,21.3,21.2,16.6,20,3119,2,2.4,378.9,3410.6,5.9,72.1,11.7,21.4,542,22530.36,58.4,19.5,19.28,6934144,950428,0.65,22693,352087,670.52,74.5,37324,5.1,17.88,24.85,7.8,34.5,16.1,25.7,0.6,9.8,13.4,Slave,SlavePlantation
